dataset,dimension,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr,DN_Mean,DN_Spread_Std
1773429559,cpu_usage_ratio,0.3962880291604678,0.6531422439078489,77.56011457277991,40,0.5256492916322973,-0.009545025826653728,0.8778103616813294,153.0,0.052083333333333336,272,0.38765900385729585,40.0,0.00819672131147541,0.2978515625,-0.0390625,0.9256379796087066,6.0,1.6958006308552402,0.125,0.875,0.012271846303085938,0.38492016551081065,0.7450251898879763,0.025899491900715645
1773429559,cpu_load_ratio,0.1651981812730734,-0.7902456573839668,40.83929459143545,68,0.5878536675132474,0.008191898221504797,0.8328445747800587,117.0,0.005509641873278237,74,0.5613162696530017,40.0,0.043010752688172046,-0.201171875,0.052734375,0.9797132514098205,9.0,1.4932758523431546,0.16666666666666666,0.8541666666666666,0.01840776945462891,0.269791533609256,1.2075659179687495,0.09777851007057893
1773429559,memory_usage_ratio,0.7117712375672292,0.9391534312923377,178.38380202904378,3,0.5610168692338252,0.01308392402181826,0.9159335288367546,99.0,0.07407407407407407,21,0.3529700751872815,2.0,0.0030211480362537764,0.57275390625,-0.71240234375,0.9121917114874828,7.0,1.7436467585658326,0.3958333333333333,0.3125,0.006135923151542969,0.38601402282673886,0.6918335208794391,0.006566025893891094
1773429559,network_in_bytes,-0.0676957427793834,0.4768323655745388,58.29715126440578,4,0.30661755468539864,0.13447780209270147,0.8719452590420332,117.0,0.036458333333333336,4,0.07897825063365495,3.0,0.008695652173913044,0.1591796875,-0.03125,0.8245038812997929,8.0,1.670259524834348,0.2708333333333333,0.875,0.01840776945462891,0.5592968372025136,38653561.27973257,3807627.818276069
1773429559,network_out_bytes,0.920764872139952,0.48240181137360283,66.09420286580414,4,0.32556261656693725,-0.16201298756687368,0.8885630498533724,60.0,0.005208333333333334,4,0.12088585059115081,3.0,0.008620689655172414,0.16015625,-0.0390625,0.869987499166894,8.0,1.6618639790359262,0.22916666666666666,0.875,0.012271846303085938,0.49505008495783254,45294066.67734774,4342570.521336082
1773429559,objects_count,-0.020727861742055653,-0.1941300195502189,218.96764827172458,736,1.560744099344739,9.258959243659461e-08,0.0,501.0,0.16666666666666669,0,29.885471008969905,40.0,0.22340425531914893,0.7451171875,-0.75537109375,0.9932096719000513,1.0,1.1119659832257027,0.2708333333333333,0.875,0.006135923151542969,0.0019425067449555292,772166.619140625,388830.2247921962
1773429559,objects_unique_count,-0.0030241921203144617,-0.17519722224213097,221.70665583756428,736,1.5620245015060417,-1.5650843916036032e-06,0.0039100684261974585,507.0,0.16666666666666669,0,4.804423439777569,40.0,0.005333333333333333,0.744140625,-0.75634765625,0.9932689277518975,2.0,1.1340850002724205,0.875,0.875,0.006135923151542969,0.008405747166111583,169613.54296875,88136.91661965573
1773429559,objects_missing_count,0.2117760263839519,-0.03282364207896865,36.30091908058424,332,0.24147755928790962,0.018979949234773884,0.007820136852394917,66.0,0.17708333333333334,0,0.23411050572024925,40.0,0.03225806451612903,-0.287109375,0.171875,0.9904128335604611,162.0,0.47270696178400196,0.7083333333333334,0.875,0.024543692606171875,0.17526300033593292,5101.6015625,18389.231793590356
1773429559,capacity_disk_unique_tb,0.019286758405860915,-0.8500339330640164,221.00549629316964,673,1.5628956866950263,9.583848693361051e-06,0.01857282502443793,514.0,0.16666666666666669,0,5.091178936352988,40.0,0.005319148936170213,0.7587890625,-0.751953125,0.9931293368745627,2.0,1.1340850002724205,0.8333333333333334,0.8541666666666666,0.006135923151542969,0.016006071929832676,0.005476546970999995,0.0027036019170624333
1773429559,capacity_disk_stored_tb,0.00999540085950179,-0.1632209193872074,221.20953965492413,742,1.562610359510019,2.0133495766501907e-06,0.01857282502443793,511.0,0.16666666666666669,0,6.051173343010395,40.0,0.005319148936170213,0.7587890625,-0.75244140625,0.993195598700861,2.0,1.1340850002724205,0.8333333333333334,0.8541666666666666,0.006135923151542969,0.012279804056462463,0.0140235771484375,0.007045525492412048
